WY	date	CoalCreek reg
2007	4/18/2007	0.619
2007	4/19/2007	0.635
2007	4/20/2007	0.805
2007	4/21/2007	1.005
2007	4/22/2007	0.918
2007	4/23/2007	0.958
2007	4/24/2007	0.953
2007	4/25/2007	0.828
2007	4/26/2007	0.889
2007	4/27/2007	0.993
2007	4/28/2007	1.459
2007	4/29/2007	2.232
2007	4/30/2007	3.040
2007	5/1/2007	3.314
2007	5/2/2007	3.445
2007	5/3/2007	3.040
2007	5/4/2007	2.960
2007	5/5/2007	2.115
2007	5/6/2007	1.582
2007	5/7/2007	1.244
2007	5/8/2007	1.029
2007	5/9/2007	1.011
2007	5/10/2007	1.212
2007	5/11/2007	1.823
2007	5/12/2007	2.598
2007	5/13/2007	3.139
2007	5/14/2007	3.277
2007	5/15/2007	3.540
2007	5/16/2007	3.981
2007	5/17/2007	3.792
2007	5/18/2007	3.851
2007	5/19/2007	4.001
2007	5/20/2007	4.329
2007	5/21/2007	3.831
2007	5/22/2007	3.305
2007	5/23/2007	2.209
2007	5/24/2007	1.595
2007	5/25/2007	1.308
2007	5/26/2007	1.282
2007	5/27/2007	1.568
2007	5/28/2007	2.146
2007	5/29/2007	2.482
2007	5/30/2007	2.039
2007	5/31/2007	1.971
2007	6/1/2007	2.024
2007	6/2/2007	2.039
2007	6/3/2007	2.217
2007	6/4/2007	2.209
2007	6/5/2007	2.360
2007	6/6/2007	2.425
2007	6/7/2007	1.623
2007	6/8/2007	1.187
2007	6/9/2007	1.119
2007	6/10/2007	1.379
2007	6/11/2007	1.644
2007	6/12/2007	2.304
2007	6/13/2007	1.918
2007	6/14/2007	1.823
2007	6/15/2007	1.772
2007	6/16/2007	1.772
2007	6/17/2007	1.779
2007	6/18/2007	1.602
2007	6/19/2007	1.295
2007	6/20/2007	1.194
2007	6/21/2007	1.132
2007	6/22/2007	1.059
2007	6/23/2007	0.918
2007	6/24/2007	0.856
2007	6/25/2007	0.767
2007	6/26/2007	0.671
2007	6/27/2007	0.645
2007	6/28/2007	0.594
2007	6/29/2007	0.534
2007	6/30/2007	0.490
2007	7/1/2007	0.432
2007	7/2/2007	0.381
2007	7/3/2007	0.345
2007	7/4/2007	0.318
2007	7/5/2007	0.301
